,Food_category,group_name_v7
0,Barley (Beer),"Grains, roots, starchy carbohydrates"
1,Cereals & Oilcrops Misc.,"Grains, roots, starchy carbohydrates"
2,unknown,
3,Water,
4,other ingredients,
5,Maize (Meal),"Grains, roots, starchy carbohydrates"
6,Apples,Fruit and vegetables
7,Cane Sugar,Sugar crops
8,Citrus Fruit,Fruit and vegetables
9,Other Fruit,Fruit and vegetables
10,Berries & Grapes,Fruit and vegetables
11,Root Vegetables,"Grains, roots, starchy carbohydrates"
12,Rice,"Grains, roots, starchy carbohydrates"
13,Wheat & Rye (Bread),"Grains, roots, starchy carbohydrates"
14,Oatmeal,"Grains, roots, starchy carbohydrates"
15,"Butter, Cream & Ghee",
16,Milk,Dairy and eggs
17,Other Vegetables,Fruit and vegetables
18,Wine,Fruit and vegetables
19,Coffee,Stimulants and spices
20,Palm Oil,"Legumes, beans, nuts"
21,Rapeseed Oil,"Legumes, beans, nuts"
22,Salt,
23,Cassava,"Grains, roots, starchy carbohydrates"
24,Dark Chocolate,Stimulants and spices
25,Other Pulses,"Legumes, beans, nuts"
26,Potatoes,"Grains, roots, starchy carbohydrates"
27,Eggs,Dairy and eggs
28,Sunflower Oil,"Legumes, beans, nuts"
29,Nuts,"Legumes, beans, nuts"
30,Sunflower seeds,"Legumes, beans, nuts"
31,Beet Sugar,Sugar crops
32,Soybean Oil,"Legumes, beans, nuts"
33,Peas,Fruit and vegetables
34,Olive Oil,"Legumes, beans, nuts"
35,Bananas,Fruit and vegetables
36,Olives,Fruit and vegetables
37,Tea,Stimulants and spices
38,Milk Chocolate,Stimulants and spices
39,Soymilk,"Legumes, beans, nuts"
40,Cheese,Dairy and eggs
41,Tomatoes,Fruit and vegetables
42,Onions & Leeks,Fruit and vegetables
43,Bovine Meat (dairy herd),Ruminant meat
44,Pig Meat,Poultry and pig meat
45,Groundnuts,"Legumes, beans, nuts"
46,Poultry Meat,Poultry and pig meat
47,Animal Fats,Ruminant meat
48,Brassicas,Fruit and vegetables
49,Fish (farmed),Seafood
50,Crustaceans (farmed),Seafood
51,Bovine Meat (beef herd),Ruminant meat
52,Lamb & Mutton,Ruminant meat
53,Tofu,"Legumes, beans, nuts"
